borough_y,sale_price,yearbuilt,lotarea,bldgarea,resarea,comarea,unitsres,unitstotal,numfloors,latitude,longitude,landuse,bldgclass,building_age
QN,999999,1955.0,4000.0,1200.0,1200.0,0.0,1.0,1.0,1.5,40.5740611,-73.8610174,1.0,A2,70.0
QN,1700000,1997.0,8000.0,2678.0,2678.0,0.0,1.0,1.0,2.0,40.5750915,-73.8619692,1.0,A1,28.0
QN,850000,1930.0,4000.0,1175.0,1175.0,0.0,1.0,1.0,1.75,40.5741897,-73.8630257,1.0,A2,95.0
QN,910000,1955.0,6000.0,2355.0,2355.0,0.0,1.0,1.0,2.0,40.573071,-73.8639567,1.0,A1,70.0
QN,870000,1965.0,4000.0,2100.0,1200.0,0.0,1.0,1.0,1.0,40.5734691,-73.8641071,1.0,A2,60.0
QN,835000,1930.0,6000.0,2160.0,2160.0,0.0,1.0,1.0,2.0,40.574136,-73.8594514,1.0,A1,95.0
QN,1040000,1920.0,4000.0,1200.0,1200.0,0.0,1.0,1.0,2.0,40.573236,-73.8619586,1.0,A1,105.0
QN,895000,1920.0,4000.0,1096.0,1096.0,0.0,1.0,1.0,1.0,40.5718199,-73.8621631,1.0,A2,105.0
QN,1310000,1920.0,4000.0,1552.0,1552.0,0.0,1.0,1.0,2.0,40.5717575,-73.8627211,1.0,A1,105.0
QN,990000,1991.0,4500.0,2200.0,2200.0,0.0,1.0,1.0,2.0,40.571738,-73.8647909,1.0,A1,34.0
QN,875000,1950.0,5000.0,1031.0,1031.0,0.0,1.0,1.0,1.0,40.570992,-73.8653467,1.0,A2,75.0
QN,999000,1911.0,6000.0,1200.0,1200.0,0.0,1.0,1.0,1.0,40.5718528,-73.8598269,1.0,A9,114.0
QN,1700000,1960.0,10005.0,4755.0,4755.0,0.0,1.0,1.0,2.0,40.5715012,-73.8596261,1.0,A1,65.0
QN,1550000,1960.0,8000.0,2315.0,2315.0,0.0,1.0,1.0,1.67,40.5715546,-73.8606374,1.0,A2,65.0
QN,988000,1930.0,8058.0,2698.0,2698.0,0.0,1.0,1.0,2.5,40.5701739,-73.8628612,1.0,A1,95.0
QN,800000,1940.0,4000.0,2700.0,2700.0,0.0,1.0,1.0,2.5,40.5701092,-73.8638548,1.0,A1,85.0
QN,1752000,2006.0,8000.0,6600.0,6600.0,0.0,1.0,1.0,2.75,40.5711045,-73.8584103,1.0,A7,19.0
QN,6125000,1910.0,14252.0,5192.0,5192.0,0.0,1.0,1.0,2.5,40.5692501,-73.8593105,1.0,A1,115.0
QN,7625000,1940.0,12349.0,5506.0,5506.0,0.0,1.0,1.0,2.0,40.5701247,-73.8607916,1.0,A1,85.0
QN,1900000,1940.0,8000.0,2988.0,2988.0,0.0,1.0,1.0,2.0,40.5681272,-73.8636932,1.0,A1,85.0
QN,1310000,1950.0,5000.0,1414.0,1414.0,0.0,1.0,1.0,1.0,40.7456057,-73.7653116,1.0,A2,75.0
QN,850000,1955.0,2500.0,1088.0,1088.0,0.0,1.0,1.0,2.0,40.7464074,-73.7601227,1.0,A1,70.0
QN,990000,1950.0,4000.0,1440.0,1440.0,0.0,1.0,1.0,1.0,40.7435471,-73.7653333,1.0,A2,75.0
QN,1255000,1950.0,5500.0,1225.0,1225.0,0.0,1.0,1.0,1.0,40.7436721,-73.7620055,1.0,A2,75.0
